,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
102,440,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,5,Fabarm,H,3,False,P.y.Verva,A.Lelodet,1650,[],[],25,34,1,83.83333333333333
103,441,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,6,Flocon De Noel,M,3,False,J.Vanmeerbeck,P.Daulier,2250,['D'],[7],46,65,False,False
104,442,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,7,For Ever D'eole,A,False,False,False,3A.Wiels,False,[],[],False,21,5,79.0
105,443,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,8,Francky D'oudon,M,3,False,F.Gence,A.Leduc,3250,"['D', 2]",[],20,19,False,False
106,444,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,9,Fun De Bellande,M,3,False,A.Collette,S.Hardy,3260,[],"[5, 6]",29,57,9,82.33333333333333
107,445,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,10,Fevrier Pass,B,False,False,False,3A.Garandeau,False,[],[],False,45,False,False
108,446,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,11,First Julino,H,3,False,GuillaumeMartin,L.b.Martin,5820,[3],[],13,11,False,False
109,447,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,12,Fado Du Chene,M,3,False,P.ph.Ploquin,J.LeMer,5850,[],[],5.2,3.8,False,77.0
110,448,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,13,Floray Vedaquais,M,3,False,M.Abrivard,E.Varin,7400,['D'],[6],15,20,6,79.83333333333333
111,449,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,14,Felino De Bry,M,3,False,R.Derieux,R.Derieux,7700,[],"['D', 8]",21,32,8,80.0
112,450,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,15,Fiaschetto,B,False,False,False,3M.Daougabel,False,[],[],False,13,2,78.16666666666667
113,451,VINCENNES, 17h18,1 Jan,35000,2200,16,gauche,15,22,16,Flying Dream,M,3,False,A.Barrier,Ph.Allaire,13320,[],"['D', 3]",4.5,3.6,False,False
114,705,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,1,Cesar De Villie.,H,6,deferre_anterieurs,J.Grenouilleau,S.Michel-,46320,[5],[0],33,47,False,False
115,706,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,2,Bise Baroque,A,False,deferre_anterieurs_posterieurs,False,MlleNoemieHardy,False,[],[],False,8.5,2,75.6
116,707,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,3,Biadjo De Jelma,H,7,False,F.Letonturier,X.Quere-,48640,"[9, 7]",[],61,63,False,False
117,708,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,4,Blas De Boussie.,H,7,False,Mlle.C.Marchand,DavidRadomski-,48910,"[8, 9]",[],51,88,5,75.78333333333333
118,709,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,5,Balzan,H,7,deferre_posterieurs,Mlle.J.Juille,Th.Gauchet-,49050,['D'],[5],49,59,False,False
119,710,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,6,Bernardo Du Bou.,H,7,False,False,LoicGroussard-,49110,[],"[0, 9]",213,157,False,False
120,711,VINCENNES, 17h18,1 Jan,16000,3000,20,gauche,15,37,7,Capucinette,F,6,False,A.Angot,J.ph.Raffegeau-,49710,"[3, 'D']",[],11,13,False,75.33333333333333
121,712,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,8,Bobsilure,0,False,deferre_anterieurs_posterieurs,False,MlleD.Besse,False,[],[],False,10,4,75.76666666666667
122,713,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,False,Brise,False,False,False,False,False,False,False,False,False,False,False,False
123,714,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,10,Circe De Tramon,F,6,deferre_posterieurs,Mlle.L.Planchena.,E.Planchenault-,51320,"['D', 8]",[],16,12,8,76.0
124,715,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,11,Akila Du Vieuxc.,F,8,False,A.Voisin,R.Gougeon-,59450,"[8, 2]",[],27,22,9,75.3
125,716,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,12,Argot De Keryann,H,8,False,G.Lenain,M.Varin-,59660,"[0, 6]",[],142,181,False,False
126,717,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,13,Betty De Malabry,F,7,False,K.Petitjean,F.Leblanc-,72170,[6],['D'],18,27,6,75.51666666666667
127,718,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,14,Antilope D'epui.,F,8,deferre_anterieurs,M.Heurtebise,B.Guilloux-,77180,[],"[2, 5]",17,11,False,False
128,719,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,15,Balou Du Paou,H,7,deferre_anterieurs_posterieurs,C.Ferre,Y.j.LeBezvoet,79540,"[4, 3]",[],12,12,7,75.51666666666667
129,720,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,False,Bacilly,False,False,False,False,False,False,False,False,False,False,False,False
130,721,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,17,Boy Of God,H,7,deferre_posterieurs,M.Krouchi,Ch.Dreux-,82510,"[6, 8]",[],5.9,4.3,3,75.28333333333333
131,722,ECHUCA, 11h12,1 Jan,16000,3000,20,gauche,15,37,18,Brise De Memart.,F,7,False,J.Lehericey,H.Gilles-,82780,"[8, 8]",[],22,29,False,False
